NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
iterlaw-ai               lawapp-embed-corpus-4ltgd                                0/1     InvalidImageName             0                  2d12h   10.244.4.202      talos-5h3-83r           <none>           <none>
iterlaw-ai               lawapp-postgres-6c97965775-jp8qv                         1/1     Running                      0                  5d8h    10.244.4.20       talos-5h3-83r           <none>           <none>
iterlaw-rag              ingest-acas-lgf5c                                        0/1     InvalidImageName             0                  2d12h   10.244.5.28       talos-138-201-202-174   <none>           <none>
iterlaw-rag              ingest-legislation-trrkn                                 0/1     InvalidImageName             0                  2d12h   10.244.4.206      talos-5h3-83r           <none>           <none>
jzi-prod                 jzi-placeholder-7fb5468cf8-mmlnp                         1/1     Running                      0                  6d      10.244.0.130      talos-h93-b9x           <none>           <none>
kite-system              kite-dashboard-568fc88576-57r4g                          1/1     Running                      0                  7d20h   10.244.0.78       talos-h93-b9x           <none>           <none>
kube-system              coredns-6d659fc587-4zwjg                                 1/1     Running                      0                  9d      10.244.0.177      talos-h93-b9x           <none>           <none>
kube-system              coredns-6d659fc587-65k8m                                 1/1     Running                      0                  9d      10.244.0.176      talos-h93-b9x           <none>           <none>
kube-system              kube-apiserver-talos-138-201-202-174                     1/1     Running                      0                  12d     138.201.202.174   talos-138-201-202-174   <none>           <none>
kube-system              kube-apiserver-talos-5h3-83r                             1/1     Running                      0                  12d     138.201.253.245   talos-5h3-83r           <none>           <none>
kube-system              kube-apiserver-talos-h93-b9x                             1/1     Running                      0                  12d     148.251.247.56    talos-h93-b9x           <none>           <none>
kube-system              kube-controller-manager-talos-138-201-202-174            1/1     Running                      0                  12d     138.201.202.174   talos-138-201-202-174   <none>           <none>
kube-system              kube-controller-manager-talos-5h3-83r                    1/1     Running                      0                  12d     138.201.253.245   talos-5h3-83r           <none>           <none>
kube-system              kube-controller-manager-talos-h93-b9x                    1/1     Running                      2 (12d ago)        12d     148.251.247.56    talos-h93-b9x           <none>           <none>
kube-system              kube-flannel-jjrp2                                       1/1     Running                      0                  12d     148.251.247.56    talos-h93-b9x           <none>           <none>
kube-system              kube-flannel-vb6kb                                       1/1     Running                      0                  12d     138.201.253.245   talos-5h3-83r           <none>           <none>
kube-system              kube-flannel-vr5fn                                       1/1     Running                      0                  12d     138.201.202.174   talos-138-201-202-174   <none>           <none>
kube-system              kube-proxy-4m6zq                                         1/1     Running                      0                  12d     138.201.202.174   talos-138-201-202-174   <none>           <none>
kube-system              kube-proxy-fssd2                                         1/1     Running                      0                  12d     138.201.253.245   talos-5h3-83r           <none>           <none>
kube-system              kube-proxy-qfj4t                                         1/1     Running                      0                  12d     148.251.247.56    talos-h93-b9x           <none>           <none>
kube-system              kube-scheduler-talos-138-201-202-174                     1/1     Running                      0                  12d     138.201.202.174   talos-138-201-202-174   <none>           <none>
kube-system              kube-scheduler-talos-5h3-83r                             1/1     Running                      0                  12d     138.201.253.245   talos-5h3-83r           <none>           <none>
kube-system              kube-scheduler-talos-h93-b9x                             1/1     Running                      2 (12d ago)        12d     148.251.247.56    talos-h93-b9x           <none>           <none>
lawapp-ai                lawapp-brain-6597567bdc-5wtsh                            0/1     CrashLoopBackOff             273 (20s ago)      20h     10.244.4.203      talos-5h3-83r           <none>           <none>
