NAMESPACE               LAST SEEN   TYPE      REASON                    OBJECT                                                   MESSAGE
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680485-tghc8                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-ai               7m20s       Normal    Scheduled                 pod/lawapp-brain-7f648cbf56-26lld                        Successfully assigned lawapp-ai/lawapp-brain-7f648cbf56-26lld to talos-5h3-83r
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680470-8nhgr                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680455-s9t46                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680440-9tq65                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680425-9fsrj                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680410-qtcf9                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680395-z9t6s                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680380-zkcnm                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680365-m95r2                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680350-xfnh2                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680335-f4lxf                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-ai               14m         Warning   FailedScheduling          pod/lawapp-reasoning-worker-55c9fd4db6-mccj4             0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       15m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679945-7zg2w                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680320-ff6fh                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680305-f2wwq                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680290-fk2j5                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680275-rkwx5                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680260-sj8wf                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680245-dd95h                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680230-qjwjr                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-freshness-check-29680200-5vf6r                0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       18m         Warning   FailedScheduling          pod/lawapp-health-probe-29679220-xdrlk                   0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680215-t5zxk                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       16m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680200-vs87f                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       15m         Warning   FailedScheduling          pod/lawapp-legal-accuracy-check-29679840-s6d2t           0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       18m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679225-lnj9s                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       14m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679240-vn4md                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       18m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679255-wjjkc                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       19m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679270-lnp7q                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       14m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679285-jthzr                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       14m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679300-vhjmv                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       14m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679315-sdvp6                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
