NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-monitoring        lawapp-smoke-test-29679795-ktkwv                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679810-2sq5q                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679825-hqc45                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679840-fdzww                         0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679855-scpw6                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679870-l9wnj                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679885-rpxxs                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679900-zb4fl                         0/1     Pending                      0                  14h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679915-rbhk7                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679930-gpprq                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679945-7zg2w                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679960-z6djt                         0/1     Pending                      0                  13h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679975-6w5wm                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679990-k5fjh                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680005-cwpjd                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680020-trb4j                         0/1     Pending                      0                  12h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680035-4dtcr                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680050-f8cl4                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680065-25krf                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680080-n68sr                         0/1     Pending                      0                  11h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680095-pfp7p                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680110-jjszk                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680125-wp4zt                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680140-xpl6f                         0/1     Pending                      0                  10h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680155-q9bvt                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680170-lrkqn                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680185-h8t8s                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680200-vs87f                         0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680215-t5zxk                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680230-qjwjr                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680245-dd95h                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680260-sj8wf                         0/1     Pending                      0                  8h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680275-rkwx5                         0/1     Pending                      0                  7h58m   <none>            <none>                  <none>           <none>
